"description","region","gender","industry","skill","x","y"
"","IT","male","mining","low",0.0125,-0.3505
"","IT","male","mining","low",0.2348,-0.2625
"","IT","male","mining","low",0.3934,-0.2092
"","IT","male","mining","low",0.6203,-0.15
"","IT","male","mining","low",0.9132,-0.1
"","IT","male","mining","low",1.3509,-0.0575
"","IT","male","mining","low",1.7221,-0.0392
"","IT","male","mining","low",2.3249,-0.0236
"","IT","male","mining","low",3.0887,-0.0161
"","IT","male","mining","low",3.7224,-0.0119
"","IT","male","mining","low",3.9812,-0.0105
"","IT","male","mining","low",4.0437,-0.0102
"","IT","male","mining","low",5.1189,-0.0059
"","IT","male","mining","low",5.3928,-0.005
"","IT","male","mining","low",8.7342,0
"","IT","male","mining","medium",-2.1433,-2.1433
"","IT","male","mining","medium",-1.8691,-1.8716
"","IT","male","mining","medium",-1.592,-1.6018
"","IT","male","mining","medium",-1.2945,-1.3177
"","IT","male","mining","medium",-1.0685,-1.1074
"","IT","male","mining","medium",-0.9028,-0.9585
"","IT","male","mining","medium",-0.7853,-0.8566
"","IT","male","mining","medium",-0.6764,-0.7677
"","IT","male","mining","medium",-0.5407,-0.6656
"","IT","male","mining","medium",-0.4263,-0.5877
"","IT","male","mining","medium",-0.3302,-0.5289
"","IT","male","mining","medium",-0.1916,-0.4553
"","IT","male","mining","medium",0.012,-0.3656
"","IT","male","mining","medium",0.191,-0.3002
"","IT","male","mining","medium",0.5458,-0.2011
"","IT","male","mining","medium",0.811,-0.147
"","IT","male","mining","medium",1.1952,-0.092
"","IT","male","mining","medium",1.6242,-0.0539
"","IT","male","mining","medium",1.9679,-0.0341
"","IT","male","mining","medium",2.2563,-0.0242
"","IT","male","mining","medium",3.1562,-0.01
"","IT","male","mining","medium",4.2379,-0.0043
"","IT","male","mining","medium",5.058,-0.0021
"","IT","male","mining","medium",5.4081,-0.0016
"","IT","male","mining","medium",6.1191,-6e-04
"","IT","male","mining","medium",6.9186,0
"","IT","male","mining","high",-1.6358,-1.6358
"","IT","male","mining","high",-1.2653,-1.2743
"","IT","male","mining","high",-0.9825,-1.0089
"","IT","male","mining","high",-0.8129,-0.8576
"","IT","male","mining","high",-0.6192,-0.7057
"","IT","male","mining","high",-0.4743,-0.6007
"","IT","male","mining","high",-0.325,-0.5094
"","IT","male","mining","high",-0.1116,-0.4021
"","IT","male","mining","high",0.1088,-0.3086
"","IT","male","mining","high",0.2839,-0.2518
"","IT","male","mining","high",0.5082,-0.1989
"","IT","male","mining","high",0.8715,-0.1509
"","IT","male","mining","high",1.3437,-0.1038
"","IT","male","mining","high",1.9522,-0.057
"","IT","male","mining","high",2.6354,-0.0221
